Name,Address,City,State,Zip,Lat,Long,IsSchool,Breakfast,Lunch,Supper,PMSnack
Archdiocese of Chicago-Nw Hwy - Curtis Britt Youth Outreach Ministey,4701 W Lake St, Chicago, IL,60644,41.886217,-87.743221,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - PUI TAK JUMP START PROGRAM #2,2216 S WENTWORTH AVE, CHICAGO, IL,60616,41.852397,-87.632291,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - NEW EVERLASTING FAITH MINISTRIES,6950 S WENTWORTH, CHICAGO, IL,60621,41.767544,-87.629989,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Canaan Community Church,1701 W Garfield, Chicago, IL,60636,41.79338,-87.667216,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Universal Prayer Tower,1335 E 76th St, Chicago, IL,60619,41.756736,-87.591755,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - CPS BOWLING CAMP MORGAN PARK H.S.,1744 W Pryor Ave, Chicago, IL,60643,41.691926,-87.66577,1,0,1,0,1
Archdiocese of Chicago-Nw Hwy - SLC MINISTRIES INC,7400 S Saint Lawrence Ave, Chicago, IL,60619,41.76016,-87.610623,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Christ Temple,41 W 95th St, Chicago, IL,60628,41.72146,-87.625389,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - CPS BOWLING CAMP #2,3900 W Columbus Ave, Chicago, IL,60652,41.737208,-87.719752,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Campout-Chicago Equipping Training Center,1001 W 69th St, Chicago, IL,60621,41.768514,-87.649531,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - The Church of Ephesus,2449 W 59th St, Chicago, IL,60629,41.786366,-87.685803,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St Thomas the Apostle,5407 S Woodlawn Ave, Chicago, IL,60615,41.797703,-87.596312,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - St. Nicholas Cathedral School,2200 W Rice St, Chicago, IL,60622,41.896997,-87.682382,0,0,1,0,1
